排名,名字,导演,主演,年份,地区,评分,简介
198,黑客帝国3：矩阵革命,Andy,玛丽·爱丽丝,2003,美国 澳大利亚,8.6,不得不说，《黑客帝国》系列是商业片与科幻、哲学完美结合的典范。
199,一次别离,阿斯哈·法哈蒂,佩曼·莫阿迪,2011,伊朗 法国,8.7,只有有信仰的人才能说出事实真相。
200,海街日记,是枝裕和,绫濑遥,2015,日本,8.7,是枝裕和的家庭习作。
201,追随,克里斯托弗·诺兰,杰里米·西奥伯德,1998,英国,8.9,诺兰的牛逼来源于内心散发出的恐惧。
202,三块广告牌,马丁·麦克唐纳,弗兰西斯·麦克多蒙德,2017,美国 英国,8.7,
203,惊魂记,Alfred,Janet,1960,美国,8.9,故事的反转与反转，分裂电影的始祖。
204,青蛇,徐克,张曼玉,1993,香港,8.5,人生如此，浮生如斯。谁人言，花彼岸，此生情长意短。谁都是不懂爱的罢了。
205,撞车,保罗·哈吉斯,桑德拉·布洛克,2004,美国 德国,8.6,天使与魔鬼的冲撞。
206,小萝莉的猴神大叔,卡比尔·汗,萨尔曼·汗,2015,印度,8.5,宝莱坞的萝莉与大叔。
207,再次出发之纽约遇见你,约翰·卡尼,凯拉·奈特莉,2013,美国,8.5,爱我就给我看你的播放列表。
208,梦之安魂曲,达伦·阿伦诺夫斯基,艾伦·伯斯汀,2000,美国,8.7,一场没有春天的噩梦。
209,步履不停,是枝裕和,阿部宽,2008,日本,8.8,日本的家庭电影已经是世界巅峰了，步履不停是巅峰中的佳作。
210,源代码,邓肯·琼斯,杰克·吉伦哈尔,2011,美国 加拿大,8.4,邓肯·琼斯继《月球》之后再度奉献出一部精彩绝伦的科幻佳作。
211,新龙门客栈,李惠民,张曼玉,1992,香港 中国大陆,8.5,嬉笑怒骂，调风动月。
212,终结者2：审判日,詹姆斯·卡梅隆,阿诺·施瓦辛格,1991,美国 法国,8.6,少见的超越首部的续集，动作片中的经典。
213,初恋这件小事,普特鹏·普罗萨卡·那·萨克那卡林,匿名,2010,泰国,8.3,黑小鸭速效美白记。
214,东京物语,小津安二郎,笠智众,1953,日本,9.2,东京那么大，如果有一天走失了，恐怕一辈子不能再相见。
